Time;Value(generator);Value(filterd)
0,002680;-32767;-32767
0,002690;-32767;-32767
0,002700;-32767;-32767
0,002710;-32767;-32767
0,002720;-32767;-32767
0,002730;-32767;-32767
0,002740;-32767;-32767
0,002750;-32767;-32767
0,002760;-32767;-32767
0,002770;-32767;-32767
0,002780;-32767;-32767
0,002790;-32767;-32767
0,002800;-32767;-32767
0,002810;-32767;-32767
0,002820;-32767;-32767
0,002830;-32767;-32767
0,002840;-32767;-32767
0,002850;-32767;-32767
0,002860;-32767;-32767
0,002870;-32767;-32767
0,002880;-32767;-32767
0,002890;-32767;-32767
0,002900;-32767;-32767
0,002910;-32767;-32767
0,002920;-32767;-32767
0,002930;-32767;-32767
0,002940;-32767;-32767
0,002950;-32767;-32767
0,002960;-32767;-32767
0,002970;-32767;-32767
0,002980;-32767;-32767
0,002990;-32767;-32767
0,003000;32767;-32435
0,003010;32767;-30511
0,003020;32767;-23253
0,003030;32767;-8879
0,003040;32767;8879
0,003050;32767;23253
0,003060;32767;30511
0,003070;32767;32435
0,003080;32767;32767
0,003090;32767;32767
0,003100;32767;32767
0,003110;32767;32767
0,003120;32767;32767
0,003130;32767;32767
0,003140;32767;32767
0,003150;32767;32767
0,003160;32767;32767
0,003170;32767;32767
0,003180;32767;32767
0,003190;32767;32767
0,003200;32767;32767
0,003210;32767;32767
0,003220;32767;32767
0,003230;32767;32767
0,003240;32767;32767
0,003250;32767;32767
0,003260;32767;32767
0,003270;32767;32767
0,003280;32767;32767
0,003290;32767;32767
0,003300;32767;32767
0,003310;32767;32767
0,003320;32767;32767
0,003330;32767;32767
0,003340;32767;32767
0,003350;32767;32767
0,003360;32767;32767
0,003370;32767;32767
0,003380;32767;32767
0,003390;32767;32767
0,003400;32767;32767
0,003410;32767;32767
0,003420;32767;32767
0,003430;32767;32767
0,003440;32767;32767
0,003450;32767;32767
0,003460;32767;32767
0,003470;32767;32767
0,003480;32767;32767
0,003490;32767;32767
0,003500;-32767;32435
0,003510;-32767;30511
0,003520;-32767;23253
0,003530;-32767;8879
0,003540;-32767;-8879
0,003550;-32767;-23253
0,003560;-32767;-30511
0,003570;-32767;-32435
0,003580;-32767;-32767
0,003590;-32767;-32767
0,003600;-32767;-32767
0,003610;-32767;-32767
0,003620;-32767;-32767
0,003630;-32767;-32767
0,003640;-32767;-32767
0,003650;-32767;-32767
0,003660;-32767;-32767
0,003670;-32767;-32767
0,003680;-32767;-32767
0,003690;-32767;-32767
0,003700;-32767;-32767
0,003710;-32767;-32767
0,003720;-32767;-32767
0,003730;-32767;-32767
0,003740;-32767;-32767
0,003750;-32767;-32767
0,003760;-32767;-32767
0,003770;-32767;-32767
0,003780;-32767;-32767
0,003790;-32767;-32767
0,003800;-32767;-32767
0,003810;-32767;-32767
0,003820;-32767;-32767
0,003830;-32767;-32767
0,003840;-32767;-32767
0,003850;-32767;-32767
0,003860;-32767;-32767
0,003870;-32767;-32767
0,003880;-32767;-32767
0,003890;-32767;-32767
0,003900;-32767;-32767
0,003910;-32767;-32767
0,003920;-32767;-32767
0,003930;-32767;-32767
0,003940;-32767;-32767
0,003950;-32767;-32767
0,003960;-32767;-32767
0,003970;-32767;-32767
0,003980;-32767;-32767
0,003990;-32767;-32767
